"sample_name","sample_title","sample_control","specific_intertidal_location","temperature","salinity","geodeticDatum","lat_lon","collection_date","collection_date_local","unique_sample_identifier","depth","size_frac","samp_vol_we_dna_ext","organism","env_broad_scale","env_local_scale","env_medium","geo_loc_name","samp_mat_process","samp_collect_device","amplicon_sequenced","sample_storage_duration","sample_storage_location","sample_storage_temperature"
"CO1_G9.1028.c.S71.L001","Pillar Point intertidal seawater sample 1028.c","sample","N","13.2 °C","33 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T20:00:00Z","2022-01-28T12:00:00PST","1028.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_E11.1034.b.S83.L001","Pillar Point intertidal seawater sample 1034.b","sample","N","13.7 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T20:30:00Z","2022-01-28T12:30:00PST","1034.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.F4.1049.a.S122.L001","Pillar Point intertidal seawater sample 1049.a","sample","N","15.9 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:00:00Z","2022-01-28T14:00:00PST","1049.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.F5.1049.b.S130.L001","Pillar Point intertidal seawater sample 1049.b","sample","N","15.9 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:00:00Z","2022-01-28T14:00:00PST","1049.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_B4.1015.a.S26.L001","Pillar Point intertidal seawater sample 1015.a","sample","N","14.5 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T23:30:00Z","2022-01-28T15:30:00PST","1015.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_F11.1035.b.S84.L001","Pillar Point intertidal seawater sample 1035.b","sample","N","14.6 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T21:30:00Z","2022-01-28T13:30:00PST","1035.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_D7.1025.a.S52.L001","Pillar Point intertidal seawater sample 1025.a","sample","N","12.9 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1025.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_G1.1012.a.S7.L001","Pillar Point intertidal seawater sample 1012.a","sample","N","12.9 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1012.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_H5.1021.b.S40.L001","Pillar Point intertidal seawater sample 1021.b","sample","N","15.9 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:00:00Z","2022-01-28T14:00:00PST","1021.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_G8.1028.b.S63.L001","Pillar Point intertidal seawater sample 1028.b","sample","N","13.2 °C","33 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T20:00:00Z","2022-01-28T12:00:00PST","1028.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_H1.1013.a.S8.L001","Pillar Point intertidal seawater sample 1013.a","sample","N","12.8 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1013.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_H3.1013.c.S24.L001","Pillar Point intertidal seawater sample 1013.c","sample","N","12.8 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1013.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_H2.1013.b.S16.L001","Pillar Point intertidal seawater sample 1013.b","sample","N","12.8 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1013.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_H6.1021.c.S48.L001","Pillar Point intertidal seawater sample 1021.c","sample","N","15.9 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:00:00Z","2022-01-28T14:00:00PST","1021.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.F1.1041.a.S98.L001","Pillar Point intertidal seawater sample 1041.a","sample","N","12.9 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-29T01:00:00Z","2022-01-28T17:00:00PST","1041.a","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_B5.1015.b.S34.L001","Pillar Point intertidal seawater sample 1015.b","sample","N","14.5 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T23:30:00Z","2022-01-28T15:30:00PST","1015.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_B6.1015.c.S42.L001","Pillar Point intertidal seawater sample 1015.c","sample","N","14.5 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T23:30:00Z","2022-01-28T15:30:00PST","1015.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_E6.1018.c.S45.L001","Pillar Point intertidal seawater sample 1018.c","sample","N","15.9 °C","33.1 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T22:00:00Z","2022-01-28T14:00:00PST","1018.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_2.D9.1055.c.S160.L001","Pillar Point intertidal seawater sample 1055.c","sample","N","15.2 °C","32.8 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T21:00:00Z","2022-01-28T13:00:00PST","1055.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_H8.1029.b.S64.L001","Pillar Point intertidal seawater sample 1029.b","sample","N","12.8 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1029.b","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
"CO1_H9.1029.c.S72.L001","Pillar Point intertidal seawater sample 1029.c","sample","N","12.8 °C","33.2 ppt","EPSG:4326","37.495288 N 122.499198 W","2022-01-28T19:30:00Z","2022-01-28T11:30:00PST","1029.c","Surface","0.22 micrometer","1000 mL","seawater metagenome","marine biome [ENVO:00000447]","shoreline [ENVO:00000486]|intertidal zone [ENVO:00000316]","coastal sea water [ENVO_00002150]","USA: California, Half Moon Bay, Pillar Point, Intertidal","Gravity filtered through Sterivex (0.22-µm): dx.doi.org/10.17504/protocols.io.bp2l69y7klqe/v2","Covidien single-use enteral feeding pouch","COI","18 days","Stanford Y2E2 Building, Environmental Engineering and Science Lab, Walk-In -20 °C Freezer","-20 °C"
